rank,case_id,primary_signal,investigation_priority_score,signal_financial_discrepancy,monthly_award,status_info,plain_language_summary,evidence_points,relevant_months,relevant_amounts,relevant_payment_ids,disclaimer
11,C-33201,Award Spike,78.88,5476.48,977.78,Active,"Case C-33201 received 6 payments during the observation period, with 2 exceeding twice the award relative to its recorded monthly award of $977.78. The largest payment was $2,189.45 (2.24x award), creating $5,476.48 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $977.78.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $2,189.45 in 2025-07 (2.24x the award, Transaction ID: P-118845).', 'Total cumulative excess above authorized award across all months is $5,476.48.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$2189.45, $1705.15, $1686.98, $1697.03, $1905.13, $2159.42","P-118845, P-118846, P-118847, P-118848, P-118849, P-118850",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
12,C-30954,Award Spike,78.06,5370.5,834.54,Active,"Case C-30954 received 6 payments during the observation period, with 4 exceeding twice the award relative to its recorded monthly award of $834.54. The largest payment was $1,859.51 (2.23x award), creating $5,370.50 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $834.54.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $1,859.51 in 2025-12 (2.23x the award, Transaction ID: P-105636).', 'Total cumulative excess above authorized award across all months is $5,370.50.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$1774.41, $1659.05, $1533.71, $1762.46, $1788.60, $1859.51","P-105631, P-105632, P-105633, P-105634, P-105635, P-105636",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
13,C-30507,Post-Closure,75.36,3807.39,928.56,Closed (closure month: 2025-08),"Case C-30507 was recorded as closed in 2025-08, but payments continued in 2025-09 through 2025-12, totaling $3,807.39 across 4 payment(s) recorded after the case's closure month. This pattern is prioritized for human review.","['Case closure officially logged in 2025-08.', '4 automated payments were disbursed post-closure between 2025-09 and 2025-12.', 'Total amount disbursed after closure month is $3,807.39.', 'Payment transactions involved: P-102995, P-102996, P-102997, P-102998.']","2025-09, 2025-10, 2025-11, 2025-12","$899.22, $976.08, $951.24, $980.85","P-102995, P-102996, P-102997, P-102998",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
14,C-31396,Award Spike,74.28,4595.21,617.44,Active,"Case C-31396 received 6 payments during the observation period, with 6 exceeding twice the award relative to its recorded monthly award of $617.44. The largest payment was $1,461.12 (2.37x award), creating $4,595.21 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $617.44.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $1,461.12 in 2025-12 (2.37x the award, Transaction ID: P-108252).', 'Total cumulative excess above authorized award across all months is $4,595.21.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$1321.94, $1376.19, $1300.19, $1398.18, $1442.23, $1461.12","P-108247, P-108248, P-108249, P-108250, P-108251, P-108252",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
15,C-31808,Post-Closure,73.86,3582.25,884.56,Closed (closure month: 2025-08),"Case C-31808 was recorded as closed in 2025-08, but payments continued in 2025-09 through 2025-12, totaling $3,582.25 across 4 payment(s) recorded after the case's closure month. This pattern is prioritized for human review.","['Case closure officially logged in 2025-08.', '4 automated payments were disbursed post-closure between 2025-09 and 2025-12.', 'Total amount disbursed after closure month is $3,582.25.', 'Payment transactions involved: P-110686, P-110687, P-110688, P-110689.']","2025-09, 2025-10, 2025-11, 2025-12","$852.87, $912.42, $922.52, $894.44","P-110686, P-110687, P-110688, P-110689",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
16,C-33116,Post-Closure,73.26,3493.07,859.62,Closed (closure month: 2025-08),"Case C-33116 was recorded as closed in 2025-08, but payments continued in 2025-09 through 2025-12, totaling $3,493.07 across 4 payment(s) recorded after the case's closure month. This pattern is prioritized for human review.","['Case closure officially logged in 2025-08.', '4 automated payments were disbursed post-closure between 2025-09 and 2025-12.', 'Total amount disbursed after closure month is $3,493.07.', 'Payment transactions involved: P-118364, P-118365, P-118366, P-118367.']","2025-09, 2025-10, 2025-11, 2025-12","$863.93, $896.62, $860.37, $872.15","P-118364, P-118365, P-118366, P-118367",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
17,C-33379,Award Spike,73.0,4481.73,625.25,Active,"Case C-33379 received 6 payments during the observation period, with 5 exceeding twice the award relative to its recorded monthly award of $625.25. The largest payment was $1,446.94 (2.31x award), creating $4,481.73 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $625.25.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $1,446.94 in 2025-10 (2.31x the award, Transaction ID: P-119895).', 'Total cumulative excess above authorized award across all months is $4,481.73.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$1416.88, $1389.20, $1446.57, $1446.94, $1219.59, $1314.05","P-119892, P-119893, P-119894, P-119895, P-119896, P-119897",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
18,C-32400,Award Spike,72.75,3613.63,405.4,Active,"Case C-32400 received 6 payments during the observation period, with 6 exceeding twice the award relative to its recorded monthly award of $405.40. The largest payment was $1,162.24 (2.87x award), creating $3,613.63 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $405.40.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $1,162.24 in 2025-11 (2.87x the award, Transaction ID: P-114152).', 'Total cumulative excess above authorized award across all months is $3,613.63.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$966.35, $998.32, $961.78, $959.83, $1162.24, $997.51","P-114148, P-114149, P-114150, P-114151, P-114152, P-114153",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
19,C-32962,Award Spike,72.6,4937.09,1017.53,Suspended,"Case C-32962 received 6 payments during the observation period, with 6 exceeding 1.5x the award relative to its recorded monthly award of $1,017.53. The largest payment was $2,005.50 (1.97x award), creating $4,937.09 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $1,017.53.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $2,005.50 in 2025-09 (1.97x the award, Transaction ID: P-117458).', 'Total cumulative excess above authorized award across all months is $4,937.09.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$1727.08, $1934.39, $2005.50, $1787.03, $1730.42, $1857.85","P-117456, P-117457, P-117458, P-117459, P-117460, P-117461",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
20,C-34050,Award Spike,71.3,3719.29,437.44,Active,"Case C-34050 received 6 payments during the observation period, with 6 exceeding twice the award relative to its recorded monthly award of $437.44. The largest payment was $1,159.91 (2.65x award), creating $3,719.29 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $437.44.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $1,159.91 in 2025-09 (2.65x the award, Transaction ID: P-123872).', 'Total cumulative excess above authorized award across all months is $3,719.29.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$1062.01, $1062.84, $1159.91, $1092.77, $1053.48, $912.92","P-123870, P-123871, P-123872, P-123873, P-123874, P-123875",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
