rank,case_id,district,household_size,age_band,language_preference,tenure,opened_date,status,closure_month,monthly_award,payment_adjustments,contact_attempts,months_since_review,expected_active_months,expected_total_award,total_payment_amount,payment_count,average_payment,maximum_payment,minimum_payment,payment_amount_variability,months_with_payments,max_payment_to_award_ratio,mean_payment_to_award_ratio,total_excess_above_award,average_excess_above_award,payments_above_1_5x_count,payments_above_2x_count,post_closure_payment_count,post_closure_total_amount,post_closure_month_count,first_post_closure_month,last_post_closure_month,duplicate_payment_count,duplicate_excess_amount,duplicate_month_count,duplicate_involves_different_methods,actual_adjustment_count,adjustment_rate,adjustment_month_count,adjustment_amount_total,net_excess_paid,primary_signal,algorithmic_signal_status,investigator_review_status,feedback_action,is_administratively_cleared,investigator_feedback_reason,signal_financial_discrepancy,norm_financial,norm_persistence,norm_strength,investigation_priority_score
11,C-33201,Calder Central,4,60-74,Spanish,Private tenancy,2022-04-16,Active,,977.78,2,6,19,6,5866.68,11343.16,6,1890.5266666666666,2189.45,1686.98,234.56715683715535,6,2.2392051381701403,1.933488787525483,5476.4800000000005,912.7466666666668,6,2,0,0.0,0,,,0,0.0,0,False,2,0.3333333333333333,2,3894.6,5476.48,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,5476.4800000000005,0.7297536431183175,1.0,0.6196025690850702,78.87973353761728
12,C-30954,Ash Hill,3,60-74,English,Social tenancy,2025-08-04,Active,,834.54,1,2,3,6,5007.24,10377.74,6,1729.6233333333332,1859.51,1533.71,115.58158601899643,6,2.2281855872696337,2.0725469520134845,5370.5,895.0833333333334,6,4,0,0.0,0,,,0,0.0,0,False,1,0.16666666666666666,1,1659.05,5370.5,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,5370.5,0.7156315626765594,1.0,0.6140927936348168,78.0634340065243
13,C-30507,Northgate,3,30-44,English,No fixed abode,2024-09-23,Closed,2025-08,928.56,3,4,21,2,1857.12,5528.860000000001,6,921.4766666666668,980.85,783.09,73.92499460038309,6,1.0563130007753943,0.9923717009850378,132.3100000000003,22.051666666666716,0,0,4,3807.3900000000003,4,2025-09,2025-12,0,0.0,0,False,2,0.3333333333333333,2,1919.23,3671.7400000000007,Post-Closure,POST_CLOSURE_CONTINUATION,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,3807.3900000000003,0.5073435351306407,1.0,0.9995002498750624,75.35718175403328
14,C-31396,Northgate,2,30-44,English,No fixed abode,2023-10-25,Active,,617.44,3,5,4,6,3704.6400000000003,8299.85,6,1383.3083333333334,1461.12,1300.19,63.989038253959244,6,2.3664161699922257,2.2403931286170855,4595.21,765.8683333333333,6,6,0,0.0,0,,,0,0.0,0,False,2,0.3333333333333333,2,2622.13,4595.21,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,4595.21,0.6123223746628716,1.0,0.6832080849961129,74.28028043306585
15,C-31808,Weybridge,3,75+,English,Private tenancy,2023-12-27,Closed,2025-08,884.56,0,6,23,2,1769.12,5377.09,6,896.1816666666667,922.52,852.87,26.442620457637428,6,1.0429139911368364,1.0131383588073921,106.68000000000018,17.78000000000003,0,0,4,3582.25,4,2025-09,2025-12,0,0.0,0,False,0,0.0,0,0.0,3607.9700000000003,Post-Closure,POST_CLOSURE_CONTINUATION,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,3582.25,0.47734310872322966,1.0,0.9995002498750624,73.85716043366273
16,C-33116,Northgate,2,60-74,Other,Private tenancy,2022-02-21,Closed,2025-08,859.62,2,8,21,2,1719.24,5229.13,6,871.5216666666666,896.62,855.36,15.216803102710722,6,1.0430422744933807,1.0138452649620375,75.66999999999996,12.61166666666666,0,0,4,3493.0699999999997,4,2025-09,2025-12,0,0.0,0,False,2,0.3333333333333333,2,1768.77,3509.8900000000003,Post-Closure,POST_CLOSURE_CONTINUATION,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,3493.0699999999997,0.4654596671890157,1.0,0.9995002498750624,73.26298835695204
17,C-33379,Northgate,2,30-44,English,Resident with family,2024-11-15,Active,,625.25,1,1,0,6,3751.5,8233.23,6,1372.205,1446.94,1219.59,89.52485839139877,6,2.3141783286685325,2.1946501399440224,4481.73,746.9549999999999,6,5,0,0.0,0,,,0,0.0,0,False,2,0.3333333333333333,2,2863.45,4481.73,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,4481.73,0.5972009018516742,1.0,0.6570891643342662,73.00182837926904
18,C-32400,Northgate,1,60-74,English,No fixed abode,2022-12-27,Active,,405.4,1,2,8,6,2432.3999999999996,6046.03,6,1007.6716666666666,1162.24,959.83,77.69740418229343,6,2.8668968919585596,2.4856232527544813,3613.63,602.2716666666666,6,6,0,0.0,0,,,0,0.0,0,False,2,0.3333333333333333,2,1963.8600000000001,3613.63,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,3613.63,0.481524566396964,1.0,0.9334484459792798,72.7451972394338
19,C-32962,Calder Central,4,18-29,English,Private tenancy,2022-03-03,Suspended,,1017.53,3,3,12,6,6105.18,11042.27,6,1840.3783333333333,2005.5,1727.08,113.29784594892644,6,1.970949259481293,1.8086723077779852,4937.09,822.8483333333334,6,0,0,0.0,0,,,0,0.0,0,False,1,0.16666666666666666,1,1727.08,4937.09,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,4937.09,0.6578786764313964,1.0,0.4854746297406465,72.60342641638276
20,C-34050,Weybridge,1,45-59,English,No fixed abode,2023-05-16,Active,,437.44,1,4,23,6,2624.64,6343.93,6,1057.3216666666667,1159.91,912.92,80.87024506372335,6,2.65158650329188,2.417066721531334,3719.29,619.8816666666667,6,6,0,0.0,0,,,0,0.0,0,False,1,0.16666666666666666,1,1062.84,3719.2900000000004,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,3719.29,0.495604006097626,1.0,0.8257932516459401,71.2960653378001
